t(secs),UH
0,0.00000006
3600,0.00048497
7200,0.00714538
10800,0.02295375
14400,0.04115682
18000,0.05584461
21600,0.0650887
25200,0.06929996
28800,0.06967336
32400,0.06743511
36000,0.06358529
39600,0.0588588
43200,0.05376272
46800,0.04863008
50400,0.0436688
54000,0.03900015
57600,0.03468715
61200,0.03075461
64800,0.0272031
68400,0.02401836
72000,0.0211777
75600,0.01865416
79200,0.01641922
82800,0.01444452
86400,0.01270287
90000,0.01116884
93600,0.00981904
97200,0.00863223
100800,0.00758927
104400,0.00667306
108000,0.00586837
111600,0.0051617
115200,0.00454112
118800,0.00399612
122400,0.00351744
126000,0.00309694
129600,0.00272749
133200,0.0024028
136800,0.00211739
140400,0.00186644
144000,0.00164573
147600,0.00145155
151200,0.00128067
154800,0.00113024
158400,0.00099777
162000,0.00088109
165600,0.00077828
169200,0.00068766
