No	m2s_r	atio lonm	latm	area(km2)	Vol(km3/yr)	nyr	yrb	yre	elev(m)	CT	CN	River_Name	OCN	Station_Name
1	12462	-51.75	-0.75	4618750	5389.537	79	1928	2006	37	BR	SA	Amazon	ATL	"Obidos, Bra"
2	10291	12.75	-5.75	3475000	1270.203	97.1	1903	2000	270	CD	AF	Congo	ATL	"Kinshasa, C"
3	11474	-61.75	9.25	836000	980.088	75.8	1923	1999	-9999	VE	SA	Orinoco	ATL	Pte Angostu
4	10374	120.75	32.25	1705383	905.141	99.6	1900	2000	19	CN	AS	Changjiang	PAC	"Datong, Chi"
5	10245	89.75	24.25	554542	670.943	44.3	1956	2000	19	BD	AS	Brahmaputra	IND	Bahadurabad
6	11381	-90.25	29.75	2896021	537.319	79	1928	2006	14.1	US	NA	Mississippi	ATL	"Vicksburg,"
7	10381	83.25	70.75	2440000	583.768	69.3	1936	2006	2	RU	AS	Yenisey	ARC	"Igarka, Rus"
8	11933	-57.75	-34.75	2346000	476.584	101.3	1905	2006	4	AR	SA	Parana	ATL	"Timbues, Ar"
9	10095	126.75	72.75	2430000	529.295	71.4	1934	2006	0	RU	AS	Lena	ARC	"Kusur, Russ"
10	17979	106.25	9.75	545000	300.351	82.6	1923	2005	-9999	LA	AS	Mekong	PAC	"Pakse, Laos"
11	14354	-49.25	-2.25	742300	357.689	49.4	1978	2006	1.9	BR	SA	Tocantins	ATL	"Tucurui, Br"
12	12315	-55.25	-2.75	387378	337.803	24	1973	1998	-9999	BR	SA	Tapajos	ATL	"Jatoba, Bra"
13	10378	69.25	66.75	2430000	396.085	76	1930	2006	0	RU	AS	Ob	ARC	"Salekhard,"
14	10576	88.25	24.25	951600	379.679	48	1949	1996	-9999	IN	AS	Ganges (Ganga)	IND	"Farakka, In"
15	15233	95.75	17.75	117900	256.783	11	1978	1988	-9999	MM	AS	Irrawaddy (Ayey	IND	"Sagaing, My"
16	16062	-67.75	48.75	773888	224.654	106.8	1900	2006	47	US	NA	St Lawrence	ATL	Cornwall ON
17	11346	140.25	51.75	1730000	305.944	99.9	1900	1999	13	RU	AS	Amur	PAC	"Komsomolsk,"
18	11103	-52.25	-2.25	446388	273.437	26.4	1971	1998	-9999	BR	SA	Xingu	ATL	"Altamira, B"
19	10069	-134.25	68.75	1660000	283.431	46.6	1943	2006	-9999	CA	NA	Mackenzie	ARC	"Arctic Red,"
20	12217	113.25	22.25	329705	219.664	45.7	1915	1986	-9999	CN	AS	Xijiang	PAC	"Wuzhou, Chi"
21	14651	-123.75	46.25	613827	164.86	106.8	1900	2006	0	US	NA	Columbia	PAC	"The Dalles,"
22	10000	-74.75	10.75	257438	230.904	51	1950	2000	8	CO	SA	Magdalena	ATL	"Calamar, Co"
23	13818	-58.25	-33.75	249312	166.907	57.3	1965	2006	1.2	AR	SA	Uruguay (Urugua	ATL	"Concordia,"
24	10443	-164.25	62.75	831386	227.464	50	1956	2006	6.1	AK	NA	Yukon	PAC	"Pilot Stn,"
25	36429	-77.25	6.25	9432	55.789	24.2	1966	1990	18	CO	SA	Atrato	ATL	"Tagachi, Co"
26	10000	28.75	45.25	807000	203.739	103	1900	2002	4	RO	EU	Danube	MED	Ceatal Izma
27	10139	6.25	4.75	2209302.5	180.524	73	1915	2006	-999	Ni	Ni	Niger (Issa Ber	ATL	"Lokoja, Nig"
28	12568	9.75	-0.75	203500	147.964	42	1930	1975	9	GA	AF	Ogoou	ATL	"Lambarn,"
29	22319	-58.75	6.25	66600	66.436	28.8	1965	1995	18	GY	SA	Essequibo	ATL	Plantain Is
30	16744	-122.75	48.75	217000	85.43	93.8	1912	2005	38	CA	NA	Fraser	PAC	"Hope, Canad"
31	10370	53.25	67.75	312000	137.846	73.8	1916	2000	-9999	RU	EU	Pechora	ARC	"Oksino, Rus"
32	18000	-92.75	57.25	997000	69.606	71.3	1915	2006	190	CA	NA	Nelson	ATL	u/s Bladder
33	15897	106.75	73.25	275000	87.626	13.4	1961	1994	-9999	RU	AS	Khatanga	ARC	"Khatanga, R"
34	10336	143.25	-3.75	40922	118.605	4	1980	1984	40	PG	PO	Sepik	PAC	"Ambunti, Pa"
35	11919	160.75	68.75	526000	97.08	74.3	1927	2004	-9999	RU	AS	Kolyma	ARC	"Kolymskoye,"
36	11143	35.75	-18.25	940000	105.311	4	1976	1979	117	MZ	AF	Zambeze	IND	Matundo-Cai
37	10566	40.25	64.75	348000	104.4	105.7	1900	2006	2	RU	EU	Severnaya Dvina	ARC	"Ust Pinega,"
38	11685	68.25	24.75	975000	88.525	63.8	1936	2000	13	PK	AS	Indus	IND	"Kotri, Paki"
39	15714	10.25	3.75	131500	62.633	36.6	1943	1980	25	CM	AF	Sanaga	ATL	"Eda, Camer"
40	10000	81.75	16.75	299320	95.878	73.5	1901	1979	-9999	IN	AS	Godavari	IND	"Polavaram,"
41	13286	111.75	2.75	34053	70.272	31.5	1962	1994	-9999	MY	AS	Rajang	PAC	Kapit Wharf
42	10112	-36.75	-10.25	622600	89.363	76.4	1926	2006	40	BR	SA	Sao Francisco	ATL	"Traipu, Bra"
43	15085	-92.25	18.25	50743	58.594	46	1949	2000	60	MX	NA	Usumacinta	ATL	Boca del Ce
44	14576	-54.25	5.75	63700	51.629	45	1951	1995	10	SR	SA	Maroni (Marowij	ATL	Langa Tabbe
45	10274	5.75	52.75	180000	70.459	103	1901	2003	-9999	NL	EU	Rhine	ATL	"Lobith, Net"
46	10000	144.75	-7.25	28749	73.794	6.2	1961	1984	40	PG	PO	Purari	PAC	"Wabo Dam, P"
47	16977	-68.25	58.25	86800	40.591	37.7	1954	1999	67	CA	NA	Caniapiscau	ATL	Chute de la
48	12167	86.25	20.25	132090	59.434	6	1965	1970	-9999	IN	AS	Mahanadi	IND	"Kaimundi, I"
49	33002	-122.25	37.75	60885	21.504	57	1948	2006	0	US	NA	Sacramento	PAC	FREEPORT CA
